FACID,FACNAME,FAC_FDR,BED_CAPACITY_TYPE,BED_CAPACITY,COUNTY_NAME,DATA_DATE
010000620,MUSTARD SEED,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
010000673,DOUGLAS HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SONOMA,2025-12-15
010000792,CROSSROADS,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
010000793,PATHWAYS II ICF/DD-N,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SOLANO,2025-12-15
010000801,DANNY'S PLACE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SONOMA,2025-12-15
010000822,BADGER CREEK,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SONOMA,2025-12-15
010000860,GREENFIELDS I ICF-DDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SOLANO,2025-12-15
010000864,CROSSROADS II,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
010000907,GREENFIELDS II ICF-DDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SOLANO,2025-12-15
010000936,"SAN RAFAEL HEALTHCARE & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,SKILLED NURSING,54,MARIN,2025-12-15
010000938,SOUTH MARIN HEALTH & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,72,MARIN,2025-12-15
010000940,NOVATO HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,181,MARIN,2025-12-15
010000949,PINE RIDGE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,101,MARIN,2025-12-15
010000951,TIBURON HILLS CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,56,MARIN,2025-12-15
010000959,MARIN POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,168,MARIN,2025-12-15
010000968,PROFESSIONAL POST ACUTE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,MARIN,2025-12-15
010000980,NORTHGATE POSTACUTE CARE,SKILLED NURSING FACILITY,SKILLED NURSING,54,MARIN,2025-12-15
010000985,THE TAMALPAIS,SKILLED NURSING FACILITY,SKILLED NURSING,26,MARIN,2025-12-15
010000995,VILLA MARIN RETIREMENT RESIDENCES,SKILLED NURSING FACILITY,SKILLED NURSING,31,MARIN,2025-12-15
010000998,ABLE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,9,MARIN,2025-12-15
010001007,"THE REDWOODS, A COMMUNITY OF SENIORS",SKILLED NURSING FACILITY,SKILLED NURSING,58,MARIN,2025-12-15
010001031,STONEHAVEN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,MARIN,2025-12-15
010001033,"NOVA HOUSE, INC.",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,MARIN,2025-12-15
010001037,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,80,MARIN,2025-12-15
010001124,MONTE VERDE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SONOMA,2025-12-15
010001128,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,12,MARIN,2025-12-15
010001139,GREENFIELDS III ICF-DDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,SOLANO,2025-12-15
010001140,ARBOL HEALTHCARE CENTER OF SANTA ROSA,SKILLED NURSING FACILITY,SKILLED NURSING,45,SONOMA,2025-12-15
010001143,"PARADISE VALLEY ICF DDH, INC",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,SOLANO,2025-12-15
020000005,ST ANTHONY CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,30,ALAMEDA,2025-12-15
020000010,ASHBY CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,31,ALAMEDA,2025-12-15
020000015,BANCROFT HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,36,ALAMEDA,2025-12-15
020000019,VISTA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,71,ALAMEDA,2025-12-15
020000020,COUNTRY DRIVE POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,126,ALAMEDA,2025-12-15
020000026,"BAY VIEW REHABILITATION HOSPITAL, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,170,ALAMEDA,2025-12-15
020000028,BERKELEY PINES SKILLED NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,36,ALAMEDA,2025-12-15
020000029,BETHESDA HOME,SKILLED NURSING FACILITY,SKILLED NURSING,40,ALAMEDA,2025-12-15
020000036,MISSION VALLEY POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,85,ALAMEDA,2025-12-15
020000037,EMMANUEL POST ACUTE CARE - HAYWARD,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000039,HAYWARD HEALTHCARE & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000040,MASONIC HOME,SKILLED NURSING FACILITY,SKILLED NURSING,125,ALAMEDA,2025-12-15
020000043,ALAMEDA HEALTHCARE & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,166,ALAMEDA,2025-12-15
020000047,HAYWARD HILLS HEALTH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,74,ALAMEDA,2025-12-15
020000048,CHAPARRAL HOUSE,SKILLED NURSING FACILITY,SKILLED NURSING,49,ALAMEDA,2025-12-15
020000053,CRESTWOOD MANOR - FREMONT,SKILLED NURSING FACILITY,SKILLED NURSING,126,ALAMEDA,2025-12-15
020000054,"PRINCETON MANOR HEALTHCARE CENTER, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,82,ALAMEDA,2025-12-15
020000060,GOLDEN HARBOR HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000064,ST. PAUL'S TOWERS,SKILLED NURSING FACILITY,SKILLED NURSING,43,ALAMEDA,2025-12-15
020000065,WE CARE SKILLED NURSING FACILITY,SKILLED NURSING FACILITY,SKILLED NURSING,28,ALAMEDA,2025-12-15
020000066,VALLEY POINTE NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,50,ALAMEDA,2025-12-15
020000068,ST JOHN KRONSTADT CONVALESCENT CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,49,ALAMEDA,2025-12-15
020000070,ALL SAINT'S SUBACUTE & TRANSITIONAL CARE,SKILLED NURSING FACILITY,SKILLED NURSING,70,ALAMEDA,2025-12-15
020000071,HAYWARD POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000074,"SERENETHOS CARE CENTER, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,36,ALAMEDA,2025-12-15
020000076,ST. FRANCIS HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,62,ALAMEDA,2025-12-15
020000077,SAN LEANDRO HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,62,ALAMEDA,2025-12-15
020000079,MEDICAL HILL HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,124,ALAMEDA,2025-12-15
020000087,WEST SHORE POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,135,ALAMEDA,2025-12-15
020000090,EDEN HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,121,ALAMEDA,2025-12-15
020000091,PIEDMONT GARDENS HEALTH FACILITY,SKILLED NURSING FACILITY,SKILLED NURSING,94,ALAMEDA,2025-12-15
020000093,EXCELL HEALTH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000094,WE CARE SKILLED NURSING - FREMONT,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000099,MCCLURE POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,60,ALAMEDA,2025-12-15
020000100,MERCY RETIREMENT & CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,59,ALAMEDA,2025-12-15
020000101,NILES CANYON POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,73,ALAMEDA,2025-12-15
020000103,HAYWARD GARDENS POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,75,ALAMEDA,2025-12-15
020000104,MARINA GARDEN NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,32,ALAMEDA,2025-12-15
020000110,LAKE MERRITT HEALTHCARE CENTER LLC,SKILLED NURSING FACILITY,SKILLED NURSING,53,ALAMEDA,2025-12-15
020000111,JONES CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,SKILLED NURSING,25,ALAMEDA,2025-12-15
020000112,KYAKAMEENA CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,60,ALAMEDA,2025-12-15
020000114,LAKE PARK HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,35,ALAMEDA,2025-12-15
020000115,OAKLAND HEALTHCARE & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,98,ALAMEDA,2025-12-15
020000116,EAST BAY POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,91,ALAMEDA,2025-12-15
020000119,REDWOOD HEALTHCARE CENTER LLC,SKILLED NURSING FACILITY,SKILLED NURSING,44,ALAMEDA,2025-12-15
020000123,SAGE POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000124,FRUITVALE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,140,ALAMEDA,2025-12-15
020000125,GARFIELD NEUROBEHAVIORAL CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,96,ALAMEDA,2025-12-15
020000128,ELMWOOD CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,77,ALAMEDA,2025-12-15
020000129,CRESTWOOD TREATMENT CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,88,ALAMEDA,2025-12-15
020000132,FREMONT HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,115,ALAMEDA,2025-12-15
020000133,DRIFTWOOD HEALTHCARE CENTER - HAYWARD,SKILLED NURSING FACILITY,SKILLED NURSING,88,ALAMEDA,2025-12-15
020000135,BAY AREA HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000274,THE REHABILITATION CENTER OF OAKLAND,SKILLED NURSING FACILITY,SKILLED NURSING,70,ALAMEDA,2025-12-15
020000275,WASHINGTON CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,ALAMEDA,2025-12-15
020000276,CANYON CREEK POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,70,ALAMEDA,2025-12-15
020000277,BAY MARINA POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,94,ALAMEDA,2025-12-15
020000334,LITTLEFOOT HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000631,SERRA RESIDENTIAL CENTER - ELLEN HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000647,PARK HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000648,STANLEY HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000808,MORTON BAKAR CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,97,ALAMEDA,2025-12-15
020000813,SERRA CENTER VALPEY PARK HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000836,RUUS VILLA,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000877,ELENA'S ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000880,OAKLAND HEIGHTS NURSING AND REHABILITATION,SKILLED NURSING FACILITY,SKILLED NURSING,48,ALAMEDA,2025-12-15
020000960,BAHAMA HOME ICF/DDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020000987,ELENA'S ICF/DD-H #2,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001052,SERRA CENTER SAN JUAN HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001114,MAIN ICF/DD-N,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ALAMEDA,2025-12-15
020001146,ELENA'S ICF/DD-H #3,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001156,BARROW ICF/DD-N,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ALAMEDA,2025-12-15
020001157,SUNDALE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001179,BRIDLE ICF/DD-N,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ALAMEDA,2025-12-15
020001191,PORTSMOUTH ICF/DDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001198,SUMMER'S HOME ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001246,CITRON WAY ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001250,BELLAKEN SKILLED NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,61,ALAMEDA,2025-12-15
020001252,VESTAL HOUSE ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001258,BUILD HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001263,MIKA'S HOME ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001272,PERLITA HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ALAMEDA,2025-12-15
020001276,LEWIS HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001282,GEORGE MARK CHILDREN'S HOUSE,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,9,ALAMEDA,2025-12-15
020001284,RUUS HOME ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
020001287,"EAST BAY INTEGRATED CARE, INC. - BRUNS HOUSE",HOSPICE FACILITY,HOSPICE,6,CONTRA COSTA,2025-12-15
020001289,NEAL'S HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ALAMEDA,2025-12-15
020001292,"E & J CARE PROVIDER, INC",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ALAMEDA,2025-12-15
030000004,ROSEVILLE POINT HEALTH & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,98,PLACER,2025-12-15
030000005,COLLEGE OAK NURSING AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,120,SACRAMENTO,2025-12-15
030000011,ROCK CREEK CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,84,PLACER,2025-12-15
030000012,GOLDEN SAN ANDREAS CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,CALAVERAS,2025-12-15
030000013,AUBURN RAVINE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,59,PLACER,2025-12-15
030000016,NORTH STARR POSTACUTE CARE,SKILLED NURSING FACILITY,SKILLED NURSING,31,STANISLAUS,2025-12-15
030000019,NORTH POINTE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,161,SACRAMENTO,2025-12-15
030000023,ADVENTIST HEALTH SONORA - D/P SNF (UNIT 6),SKILLED NURSING FACILITY,SKILLED NURSING,32,TUOLUMNE,2025-12-15
030000024,WESTVIEW HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,205,PLACER,2025-12-15
030000028,MISSION CARMICHAEL HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,135,SACRAMENTO,2025-12-15
030000037,METHODIST HOSPITAL OF SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,10,SACRAMENTO,2025-12-15
030000037,METHODIST HOSPITAL OF SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,10,SACRAMENTO,2025-12-15
030000037,METHODIST HOSPITAL OF SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,12,SACRAMENTO,2025-12-15
030000037,METHODIST HOSPITAL OF SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,PERINATAL,22,SACRAMENTO,2025-12-15
030000037,METHODIST HOSPITAL OF SACRAMENTO,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,104,SACRAMENTO,2025-12-15
030000046,WINDSOR EL CAMINO CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,178,SACRAMENTO,2025-12-15
030000047,WESTERN SLOPE HEALTH CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,EL DORADO,2025-12-15
030000050,MAIN WEST POSTACUTE CARE,SKILLED NURSING FACILITY,SKILLED NURSING,99,STANISLAUS,2025-12-15
030000053,MANZANITA HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,SACRAMENTO,2025-12-15
030000060,FOLSOM CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,SACRAMENTO,2025-12-15
030000063,GOLD COUNTRY HEALTH CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,68,EL DORADO,2025-12-15
030000066,CERES POSTACUTE CARE,SKILLED NURSING FACILITY,SKILLED NURSING,46,STANISLAUS,2025-12-15
030000067,SACRAMENTO POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,SACRAMENTO,2025-12-15
030000071,FAIR OAKS HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,149,SACRAMENTO,2025-12-15
030000074,KIT CARSON NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,199,AMADOR,2025-12-15
030000076,RIVER POINTE POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,112,SACRAMENTO,2025-12-15
030000079,OAKDALE NURSING AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,115,STANISLAUS,2025-12-15
030000085,THE PINES AT PLACERVILLE HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,EL DORADO,2025-12-15
030000088,RIVERBANK POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,STANISLAUS,2025-12-15
030000090,ROSEVILLE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,210,PLACER,2025-12-15
030000096,SAN LUIS CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,71,STANISLAUS,2025-12-15
030000105,WHITNEY OAKS CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,126,SACRAMENTO,2025-12-15
030000108,SUTTER AMADOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,6,AMADOR,2025-12-15
030000108,SUTTER AMADOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,8,AMADOR,2025-12-15
030000108,SUTTER AMADOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,38,AMADOR,2025-12-15
